ccn,cares_provider_orig,cares_city_orig,cares_state_orig
010001,SOUTHEAST HEALTH (FKA SOUTHEAST ALABAMA MEDICAL CENTER),DOTHAN,AL
010001,HOUSTON COUNTY HEALTHCARE AUTHORITY,DOTHAN,AL
010005,HH HEALTH SYSTEM MARSHALL LLC,GUNTERSVILLE,AL
010006,"RCHP-FLORENCE, LLC",MUSCLE SHOALS,AL
010007,"MIZELL MEMORIAL HOSPITAL, INC.",OPP,AL
010008,CRENSHAW COMMUNITY HOSPITAL,LUVERNE,AL
010008,PROFESSIONAL RESOURCES MANAGEMENT OF CRENSHAW LLC,LUVERNE,AL
010011,ST. VINCENT'S EAST,BOSTON,MA
010012,FORT PAYNE HOSPITAL CORPORATION,BRENTWOOD,TN
010016,"BBH SBMC, LLC",DALLAS,TX
010019,"HH HEALTH SYSTEM - SHOALS, LLC",HUNTSVILLE,AL
010021,DALE MEDICAL CENTER,OZARK,AL
010022,FLOYD CHEROKEE MEDICAL CENTER LLC,ROME,GA
010023,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL
010023,HEALTH CARE AUTHORITY FOR BAPTIST HEALTH AN AFFILIATE OF UAB,MONTGOMERY,AL
010024,JACKSON HOSPITAL,MONTGOMERY,AL
010024,"JACKSON HOSPITAL AND CLINIC, INC.",MONTGOMERY,AL
010029,EAST ALABAMA MEDICAL CENTER - OPELIKA,OPELIKA,AL
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,OPELIKA,AL
010033,UAB HOSPITAL,BIRMINGHAM,AL
010033,UNIVERSITY OF ALABAMA AT BIRMINGHAM,BIRMINGHAM,AL
010034,COMMUNITY HOSPITAL INC,TALLASSEE,AL
010035,CULLMAN REGIONAL MEDICAL CENTER INC.,CULLMAN,AL
010036,COMMUNITY HOSPITAL OF ANDALUSIA LLC,BRENTWOOD,TN
010038,THE HEALTH CARE AUTHORITY OF THE CITY OF ANNISTON,ANNISTON,AL
010039,HEALTH CARE AUTHORITY OF THE CITY OF HUNTSVILLE,HUNTSVILLE,AL
010039,HEALTHCARE AUTHORITY OF THE CITY OF HUNTSVILLE,HUNTSVILLE,AL
010039,THE HEALTH CARE AUTHORITY OF THE CITY OF HUNTSVILLE,HUNTSVILLE,AL
010039,THE HEALTHCARE AUTHORITY OF THE CITY OF HUNTSVILLE,HUNTSVILLE,AL
010040,GADSDEN REGIONAL MEDICAL CENTER LLC,FRANKLIN,TN
010045,FAYETTE MEDICAL CENTER,TUSCALOOSA,AL
010046,PRIME HEALTHCARE SERVICES GADSDEN LLC,GADSEN,AL
010049,QHG OF ENTERPRISE INC,FRANKLIN,TN
010051,GREENE COUNTY HOSPITAL & NURSING HOME,EUTAW,AL
010052,LAKE MARTIN COMMUNITY HOSPITAL,DADEVILLE,AL
010052,IVY CREEK OF TALLAPOOSA LLC,DADEVILLE,AL
010055,TRIAD OF ALABAMA LLC,FRANKLIN,TN
010056,ST. VINCENTS HOSPITAL,BIRMINGHAM,AL
010058,BIBB MEDICAL CENTER,CENTREVILLE,AL
010058,THE BIBB COUNTY HEALTHCARE AUTHORITY,CENTREVILLE,AL
010059,"ATTENTUS MOULTON, LLC",MOULTON,AL
010061,HIGHLANDS HOSPITAL CORP,SALYERSVILLE,KY
010062,GENEVA COUNTY HEALTHCARE AUTHORITY,GENEVA,AL
010065,RUSSELL MEDICAL CENTER,ALEXANDER CITY,AL
010065,THE RUSSELL HOSPITAL CORPORATION,ALEXANDER CITY,AL
010069,MEDICAL CENTER BARBOUR,EUFAULA,AL
010069,THE HEALTH CARE AUTHORITY OF THE CITY OF EUFAULA,EUFAULA,AL
010073,CLAY COUNTY HEALTHCARE AUTHORITY,ASHLAND,AL
010078,THE HEALTH CARE AUTHORITY OF THE CITY OF ANNISTON,ANNISTON,AL
010079,HH-HEALTH SYSTEM - ATHENS LIMESTONE LLC,ATHENS,AL
010083,FOLEY HOSPITAL CORPORATION,ATLANTA,GA
010085,HH HEALTH SYSTEM - MORGAN LLC,HUNTSVILLE,AL
010086,NORTHWEST MEDICAL CENTER INC.,WINFIELD,AL
010087,UNIVERSITY OF SOUTH ALABAMA,MOBILE,AL
010089,"BBH WBMC, LLC",DALLAS,TX
010090,PROVIDENCE HOSPITAL,MOBILE,AL
010091,"GROVE HILL MEMORIAL HOSPITAL, INC",GROVE HILL,AL
010092,DCH REGIONAL MEDICAL CENTER,TUSCALOOSA,AL
010092,DCH HEALTH CARE AUTHORITY,TUSCALOOSA,AL
010092,DCH HEALTHCARE AUTHORITY,TUSCALOOSA,AL
010095,HALE COUNTY HOSPITAL,GREENSBORO,AL
010097,ELMORE COMMUNITY HOSPITAL,WETUMPKA,AL
010097,IVY CREEK OF ELMORE LLC,WETUMPKA,AL
010099,D.W. MCMILLAN MEMORIAL HOSPITAL,FLOMATON,AL
010100,GULF HEALTH HOSPITALS INC,BAY MINETTE,AL
010101,"BBH CBMC, LLC",DALLAS,TX
010103,"BBH PBMC, LLC",DALLAS,TX
010104,AFFINITY HOSPITAL LLC,BIRMINGHAM,AL
010108,PRATTVILLE BAPTIST HOSPITAL,PRATTVILLE,AL
010108,HEALTH CARE AUTHORITY FOR BAPTIST HEALTH AN AFFILIATE OF UAB,MONTGOMERY,AL
010110,"PROFESSIONAL RESOURCES MANAGEMENT, INC.",UNION SPRINGS,AL
010112,BRYAN W WHITFIELD MEMORIAL HOSPITAL,DEMOPOLIS,AL
010112,TOMBIGBEE HEALTHCARE AUTHORITY,DEMOPOLIS,AL
010113,MOBILE INFIRMARY,MOBILE,AL
010113,MOBILE INFIRMARY ASSOCIATION,MOBILE,AL
010114,"MEDICAL WEST HOSPITAL AUTHORITY, AN AFFILIATE OF UAB HEALTH SYSTEM",BIRMINGHAM,AL
010118,VAUGHAN REGIONAL MEDICAL CENTER,SELMA,AL
010118,VAUGHAN REGIONAL MEDICAL CENTER LLC,BRENTWOOD,TN
010120,MONROE COUNTY HEALTH CARE AUTHORITY,MONROEVILLE,AL
010125,LAKELAND COMMUNITY HOSPITAL INC.,HALEYVILLE,AL
010126,THE TROY HOSPITAL HEALTH CARE AUTHORITY,TROY,AL
010128,"JACKSON MEDICAL CENTER, LLC",JACKSON,AL
010129,GULF HEALTH HOSPITALS INC,BAY MINETTE,AL
010130,"ST. VINCENT'S ST. CLAIR, LLC",BIRMINGHAM,AL
010139,BBH BMC LLC,DALLAS,TX
010144,SPRINGHILL HOSPITALS INC,MOBILE,AL
010148,EVERGREEN MEDICAL CENTER LLC,EVERGREEN,AL
010149,BAPTIST MEDICAL CENTER EAST,MONTGOMERY,AL
010149,HEALTH CARE AUTHORITY FOR BAPTIST HEALTH AN AFFILIATE OF UAB,MONTGOMERY,AL
010150,REGIONAL MEDICAL CENTER OF CENTRAL ALABAMA (FKA LV STABLER MEMORIAL HOSPITAL),GREENVILLE,AL
010150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE - LV STABLER HOSPI,GREENVILLE,AL
010157,"RCHP-FLORENCE, LLC",MUSCLE SHOALS,AL
010158,RUSSELLVILLE HOSPITAL INC.,RUSSELLVILLE,AL
010164,SYLACAUGA HEALTH CARE AUTHORITY,SYLACAUGA,AL
010168,"RUSSELL COUNTY COMMUNITY HOSPITAL, LLC",PHENIX CITY,AL
010169,"ESCAMBIA COUNTY ALABAMA COMMUNITY HOSPITALS, INC",ATMORE,AL
010173,ST VINCENTS CHILTON LLC,BIRMINGHAM,AL
011300,WASHINGTON COUNTY HOSPITAL,CHATOM,AL
011304,CHOCTAW GENERAL HOSPITAL,BUTLER,AL
011450,HOLYOKE MEDICAL CENTER (AKA VALLEY HEALTH SYSTEMS),HOLYOKE,MA
020001,PROVIDENCE HEALTH & SERVICES WASHINGTON,ANCHORAGE,AK
020006,MAT-SU VALLEY MEDICAL CENTER LLC,FRANKLIN,TN
020012,FAIRBANKS MEMORIAL HOSPITAL LLC,FAIRBANKS,AK
020017,"GALEN HOSPITAL ALASKA, INC.",ANCHORAGE,AK
020024,CENTRAL PENINSULA GENERAL HOSPITAL INC.,SOLDOTNA,AK
030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX (FKA BANNER GOOD SAMARITAN MEDICAL CENTER),PHOENIX,AZ
030002,BANNER-UNIVERSITY MEDICAL CENTER PHOENIX,PHOENIX,AZ
030006,TUCSON MEDICAL CENTER,TUCSON,AZ
030007,VERDE VALLEY MEDICAL CENTER,FLAGSTAFF,AZ
030010,SMSJ TUCSON HOLDINGS LLC,DALLAS,TX
030011,ST JOSEPH HOSPITAL (AZ),TUCSON,AZ
030011,SMSJ TUCSON HOLDINGS LLC,DALLAS,TX
030012,YAVAPAI COMMUNITY HOSPITAL ASSOCIATION,PRESCOTT,AZ
030013,YUMA REGIONAL MEDICAL CENTER,YUMA,AZ
030016,BANNER HEALTH,MESA,AZ
030022,VALLEYWISE HEALTH MEDICAL CENTER (FKA MARICOPA MEDICAL CENTER),PHOENIX,AZ
